"HaiCat","Poop","The winner is Poop"
"0","999","1"
"rock","8230649","paper","8672010","Poop won"
"rock","8486563","paper","8925531","Poop won"
"rock","8669437","paper","9181346","Poop won"
"rock","9541440","paper","9552355","Poop won"
"rock","12146523","paper","12605044","Poop won"
"rock","11499323","paper","11931788","Poop won"
"rock","9670953","paper","10158214","Poop won"
"rock","8547106","paper","8997655","Poop won"
"rock","7541919","paper","8024891","Poop won"
"rock","8602924","paper","9096914","Poop won"
"rock","12402931","paper","12390253","Poop won"
"rock","9575719","paper","10014869","Poop won"
"rock","11804287","paper","12247488","Poop won"
"rock","12748289","paper","12190800","Poop won"
"rock","8929113","paper","8979044","Poop won"
"rock","9121707","paper","9609752","Poop won"
"rock","11347155","paper","11802295","Poop won"
"rock","9962298","paper","9973439","Poop won"
"rock","20281911","paper","20400025","Poop won"
"rock","9543537","paper","9986561","Poop won"
"rock","8331494","paper","8772398","Poop won"
"rock","8524789","paper","8970925","Poop won"
"rock","8523488","paper","9016761","Poop won"
"rock","12202906","paper","12213409","Poop won"
"rock","9186751","paper","9621562","Poop won"
"rock","10037029","paper","10499388","Poop won"
"rock","14462589","paper","15024233","Poop won"
"rock","11726875","paper","12169608","Poop won"
"rock","9662085","paper","10148898","Poop won"
"rock","11244780","paper","11685933","Poop won"
"rock","8638080","paper","8687826","Poop won"
"rock","10474555","paper","10523312","Poop won"
"rock","10572983","paper","11035354","Poop won"
"rock","10622215","paper","11058093","Poop won"
"rock","10980790","paper","11460611","Poop won"
"rock","13431886","paper","13892548","Poop won"
"rock","7391526","paper","7831352","Poop won"
"rock","9022001","paper","9510304","Poop won"
"rock","11428609","paper","11912438","Poop won"
"rock","9078995","paper","9638459","Poop won"
"rock","12526647","paper","13025752","Poop won"
"rock","10138929","paper","10584553","Poop won"
"rock","7558726","paper","10877008","Poop won"
"rock","9812776","paper","10253431","Poop won"
"rock","9579583","paper","9590674","Poop won"
"rock","12011292","paper","12455967","Poop won"
"rock","9496236","paper","9942518","Poop won"
"rock","8681492","paper","9160099","Poop won"
"rock","13298824","paper","16490777","Poop won"
"rock","8059443","paper","8070132","Poop won"
"rock","9108493","paper","9590144","Poop won"
"rock","7098871","paper","7552192","Poop won"
"rock","9566952","paper","10007165","Poop won"
"rock","8470084","paper","8906825","Poop won"
"rock","8106847","paper","8605866","Poop won"
"rock","8653535","paper","9095440","Poop won"
"rock","8567741","paper","9014394","Poop won"
"rock","9674968","paper","10164917","Poop won"
"rock","11398934","paper","11409810","Poop won"
"rock","9269278","paper","9854043","Poop won"
"rock","13076189","paper","13573890","Poop won"
"rock","10858885","paper","11315739","Poop won"
"rock","13702121","paper","14136205","Poop won"
"rock","15141884","paper","15238820","Poop won"
"rock","12743079","paper","15045462","Poop won"
"rock","10534046","paper","10976026","Poop won"
"rock","12642789","paper","13127087","Poop won"
"rock","6830176","paper","7282832","Poop won"
"rock","9642174","paper","10081032","Poop won"
"rock","8463145","paper","8903283","Poop won"
"rock","12637130","paper","13256151","Poop won"
"rock","6035311","paper","6485535","Poop won"
"rock","9526082","paper","9966247","Poop won"
"rock","8600787","paper","9096012","Poop won"
"rock","12344472","paper","12355643","Poop won"
"rock","9117097","paper","9556474","Poop won"
"rock","8475863","paper","8953364","Poop won"
"rock","8303634","paper","8772678","Poop won"
"rock","9009138","paper","9020199","Poop won"
"rock","8518129","paper","8961910","Poop won"
"rock","8684408","paper","9195578","Poop won"
"rock","8100082","paper","8550087","Poop won"
"rock","9088573","paper","9099561","Poop won"
"rock","8512902","paper","8990187","Poop won"
"rock","8326156","paper","8789450","Poop won"
"rock","8378853","paper","8822471","Poop won"
"rock","10278395","paper","10725555","Poop won"
"rock","9705810","paper","10215698","Poop won"
"rock","9527434","paper","9968100","Poop won"
