"Avalanch","hummingbird","Clients TIE!"
"0","1","999"
"rock","5329419","rock","579489","Tie"
"rock","5288358","rock","552951","Tie"
"rock","4014248","rock","550968","Tie"
"rock","6611689","rock","553669","Tie"
"rock","9072525","rock","683984","Tie"
"rock","5429939","rock","556001","Tie"
"rock","5362538","rock","575403","Tie"
"rock","5203593","rock","552373","Tie"
"rock","4159818","rock","820251","Tie"
"rock","10798113","rock","678119","Tie"
"rock","4443088","rock","610382","Tie"
"rock","5367231","rock","545428","Tie"
"rock","5319636","rock","580274","Tie"
"rock","5286548","rock","593404","Tie"
"rock","4328590","rock","627313","Tie"
"rock","6303768","rock","556855","Tie"
"rock","5302090","rock","556634","Tie"
"rock","5309273","rock","551642","Tie"
"rock","3184628","rock","566488","Tie"
"rock","4874607","rock","585785","Tie"
"rock","3686559","rock","607944","Tie"
"rock","5532526","rock","637290","Tie"
"rock","4768624","rock","1114729","Tie"
"rock","9213402","rock","1305619","Tie"
"rock","5283750","rock","589035","Tie"
"rock","3153660","rock","588212","Tie"
"rock","5287032","rock","616244","Tie"
"rock","5334989","rock","635451","Tie"
"rock","5387611","rock","595639","Tie"
"rock","5238386","rock","578603","Tie"
"rock","5339588","rock","581949","Tie"
"rock","5322217","rock","599426","Tie"
"rock","5570075","rock","577859","Tie"
"rock","5229834","rock","692167","Tie"
"rock","5300331","rock","736907","Tie"
"rock","5346134","rock","539472","Tie"
"rock","2920232","rock","562901","Tie"
"rock","7798054","rock","563960","Tie"
"rock","5326323","rock","558480","Tie"
"rock","5000106","rock","636931","Tie"
"rock","11897627","rock","685534","Tie"
"rock","6393637","rock","593199","Tie"
"rock","5346206","rock","600974","Tie"
"rock","5329493","rock","600793","Tie"
"rock","5354229","rock","587768","Tie"
"rock","5317444","rock","674351","Tie"
"rock","4443177","rock","673146","Tie"
"rock","5273693","rock","567986","Tie"
"rock","3253671","rock","557740","Tie"
"rock","7390993","rock","549490","Tie"
"rock","5315304","rock","553724","Tie"
"rock","5598137","rock","647548","Tie"
"rock","5205797","rock","548888","Tie"
"rock","5304526","rock","556584","Tie"
"rock","5532926","rock","551196","Tie"
"rock","4108497","rock","566739","Tie"
"rock","6342381","rock","581695","Tie"
"rock","5395366","rock","578540","Tie"
"rock","5239421","rock","633250","Tie"
"rock","5335510","rock","594283","Tie"
"rock","5240421","rock","701363","Tie"
"rock","5224069","rock","592748","Tie"
"rock","5570719","rock","1212464","Tie"
"rock","4262189","rock","586388","Tie"
"rock","6234499","rock","591470","Tie"
"rock","5288618","rock","599887","Tie"
"rock","5177222","rock","647338","Tie"
"rock","5346051","rock","588955","Tie"
"rock","5337255","rock","599970","Tie"
"rock","5305693","rock","1319681","Tie"
"rock","5346786","rock","634118","Tie"
"rock","6045686","rock","821006","Tie"
"rock","4268786","rock","698833","Tie"
"rock","3925635","rock","552298","Tie"
"rock","6735484","rock","549854","Tie"
"rock","4718081","rock","619673","Tie"
"rock","5314239","rock","615048","Tie"
"rock","9511840","rock","561242","Tie"
"rock","5441591","rock","549387","Tie"
"rock","4110900","rock","549358","Tie"
"rock","6494768","rock","539949","Tie"
"rock","5323074","rock","573218","Tie"
"rock","5304825","rock","616708","Tie"
"rock","3309664","rock","552713","Tie"
"rock","3489907","rock","615052","Tie"
"rock","5283675","rock","570606","Tie"
"rock","5338631","rock","582431","Tie"
"rock","5319516","rock","596071","Tie"
"rock","5381337","rock","575652","Tie"
"rock","5260924","rock","588430","Tie"
"rock","5363608","rock","632357","Tie"
"rock","5180591","rock","585702","Tie"
"rock","5332598","rock","615570","Tie"
"rock","5328606","rock","598361","Tie"
"rock","5333577","rock","574644","Tie"
"rock","5039677","rock","577663","Tie"
"rock","5571708","rock","576561","Tie"
"rock","9407617","rock","597067","Tie"
"rock","5080654","rock","639772","Tie"
