"pinky","hummingbird","Clients TIE!"
"1","3","996"
"scissors","8489681","scissors","4300449","Tie"
"scissors","9174420","scissors","5073619","Tie"
"scissors","9112456","scissors","5053944","Tie"
"scissors","9162129","scissors","5132187","Tie"
"scissors","8894412","scissors","8883393","Tie"
"scissors","9564832","scissors","1529708","Tie"
"scissors","9132009","scissors","5207307","Tie"
"scissors","9180101","scissors","5165265","Tie"
"scissors","9533411","scissors","9522423","Tie"
"scissors","9207538","scissors","5245241","Tie"
"scissors","14313600","scissors","2090997","Tie"
"scissors","6946217","scissors","1794824","Tie"
"scissors","8749627","scissors","4560610","Tie"
"scissors","9153616","scissors","5012339","Tie"
"scissors","9084348","scissors","5059483","Tie"
"scissors","7576979","scissors","5204711","Tie"
"scissors","7574260","scissors","4373779","Tie"
"scissors","10247211","scissors","2268989","Tie"
"scissors","9246010","scissors","5205445","Tie"
"scissors","11946168","scissors","5214821","Tie"
"scissors","7067862","scissors","2388318","Tie"
"scissors","7517194","scissors","4668025","Tie"
"scissors","13639645","scissors","3067808","Tie"
"scissors","9172897","scissors","5075525","Tie"
"scissors","9124413","scissors","5124306","Tie"
"scissors","9422087","scissors","1583320","Tie"
"scissors","13035705","scissors","8847152","Tie"
"scissors","8529978","scissors","5063198","Tie"
"scissors","8894167","scissors","3006558","Tie"
"scissors","10545601","scissors","2170297","Tie"
"scissors","9211150","scissors","9200598","Tie"
"scissors","10229209","scissors","2248163","Tie"
"scissors","9155537","scissors","5135921","Tie"
"scissors","9236625","scissors","5128380","Tie"
"scissors","9259353","scissors","9247452","Tie"
"scissors","9964106","scissors","2002845","Tie"
"scissors","9277959","scissors","9266610","Tie"
"scissors","8785199","scissors","4684269","Tie"
"scissors","9085590","scissors","1729504","Tie"
"scissors","9167203","scissors","5185740","Tie"
"scissors","9259161","scissors","2360827","Tie"
