"Avalanch","Poop","The winner is Poop"
"0","999","1"
"rock","8834365","paper","14094165","Poop won"
"rock","9273564","paper","9707461","Poop won"
"rock","8705577","paper","9172313","Poop won"
"rock","9814988","paper","9935352","Poop won"
"rock","11643086","paper","12135719","Poop won"
"rock","9183335","paper","9636320","Poop won"
"rock","14847289","paper","14187031","Poop won"
"rock","10684793","paper","11119467","Poop won"
"rock","12694457","paper","13176898","Poop won"
"rock","10355121","paper","10800008","Poop won"
"rock","10312455","paper","10743588","Poop won"
"rock","11547754","paper","11987825","Poop won"
"rock","20310291","paper","20375973","Poop won"
"rock","8625143","paper","9060248","Poop won"
"rock","9560269","paper","10043554","Poop won"
"rock","10879665","paper","11332140","Poop won"
"rock","9788889","paper","9838619","Poop won"
"rock","9651781","paper","10091309","Poop won"
"rock","8067912","paper","11671678","Poop won"
"rock","7993591","paper","8427770","Poop won"
"rock","8408981","paper","8886568","Poop won"
"rock","8653312","paper","9118333","Poop won"
"rock","8166019","paper","8592987","Poop won"
"rock","9193755","paper","9205136","Poop won"
"rock","8583130","paper","9050000","Poop won"
"rock","13831913","paper","13843992","Poop won"
"rock","12073514","paper","12518682","Poop won"
"rock","7932950","paper","8389261","Poop won"
"rock","8985860","paper","9440786","Poop won"
"rock","8378532","paper","8930349","Poop won"
"rock","8341945","paper","8774809","Poop won"
"rock","10320363","paper","10370895","Poop won"
"rock","9050498","paper","9488413","Poop won"
"rock","11499967","paper","11939736","Poop won"
"rock","9661575","paper","10154096","Poop won"
"rock","8832475","paper","9276526","Poop won"
"rock","7935285","paper","8393295","Poop won"
"rock","8973305","paper","9466456","Poop won"
"rock","15616919","paper","15064051","Poop won"
"rock","8204699","paper","8633682","Poop won"
"rock","9450878","paper","9943117","Poop won"
"rock","10526134","paper","10970932","Poop won"
"rock","10320951","paper","10368949","Poop won"
"rock","11639629","paper","12073523","Poop won"
"rock","11845054","paper","11896636","Poop won"
"rock","10513920","paper","10945926","Poop won"
"rock","11429128","paper","11865316","Poop won"
"rock","12578536","paper","12026187","Poop won"
"rock","13040500","paper","13531890","Poop won"
"rock","9439754","paper","9941268","Poop won"
"rock","10366808","paper","10855666","Poop won"
"rock","10209762","paper","10870248","Poop won"
"rock","10141541","paper","10577072","Poop won"
"rock","14458294","paper","14906830","Poop won"
"rock","8044888","paper","8474800","Poop won"
"rock","11494311","paper","11958953","Poop won"
"rock","8742604","paper","10486379","Poop won"
"rock","9372118","paper","9896197","Poop won"
"rock","10808718","paper","11292541","Poop won"
"rock","14096953","paper","14545535","Poop won"
"rock","8061115","paper","8505065","Poop won"
"rock","8808246","paper","9291096","Poop won"
"rock","12229935","paper","12673828","Poop won"
"rock","9095882","paper","9107955","Poop won"
"rock","8593821","paper","9064184","Poop won"
"rock","7728936","paper","8198899","Poop won"
"rock","8897339","paper","9332314","Poop won"
"rock","8491438","paper","8917904","Poop won"
"rock","8778696","paper","9278353","Poop won"
"rock","13346487","paper","13792997","Poop won"
